Generated by pymatgen.io.lammps.data.LammpsData

24948  atoms

    1  atom types

0.000000 54.504395  xlo xhi
0.000000 63.033596  ylo yhi
0.000000 104.937693  zlo zhi
1.432581 0.000000 0.000000  xy xz yz

Masses

1  55.85

Atoms

21594  1  2.223425  8.726378 42.385562
7041   1  3.062367 11.053299 42.373719
17446  1  0.652007  7.582650 44.410005
2883   1  1.472877  9.907049 44.400066
4962   1  3.129480  7.582650 44.410004
15357  1  3.950349  9.907049 44.400066
19624  1  0.705336 11.078918 46.414576
21693  1  2.365783  8.752823 46.423694
7140   1  3.182809 11.078918 46.414575
17545  1  0.781727  7.588234 48.440975
2982   1  1.588486  9.919068 48.437520
5061   1  3.259200  7.588234 48.440975
15456  1  4.065959  9.919068 48.437520
19723  1  0.805486 11.085213 50.451758
21792  1  2.470643  8.753000 50.455403
7239   1  3.282959 11.085212 50.451758
5160   1  0.870841  7.583297 52.469147
15555  1  1.680294  9.920021 52.470597
17634  1  3.348313  7.583297 52.469147
5259   1  0.933397  7.584105 56.502562
9417   1  2.549905  8.752555 54.486679
15654  1  1.754036  9.924470 56.504039
17733  1  3.410870  7.584105 56.502562
7338   1  0.891066 11.090128 54.486177
19812  1  3.368538 11.090127 54.486177
5358   1  0.974956  7.588443 60.541323
9516   1  2.608103  8.757035 58.521911
15753  1  1.807644  9.930925 60.540529
17832  1  3.452428  7.588443 60.541323
7437   1  0.960614 11.098367 58.521022
19911  1  3.438086 11.098366 58.521022
5457   1  0.998257  7.592333 64.583740
9615   1  2.645631  8.762019 62.561334
15852  1  1.839804  9.935437 64.580881
17931  1  3.475729  7.592332 64.583740
7536   1  1.008469 11.104825 62.558736
20010  1  3.485942 11.104824 62.558736
5556   1  1.005758  7.595597 68.628629
9714   1  2.664229  8.765579 66.604254
15951  1  1.852546  9.938610 68.624693
18030  1  3.483230  7.595597 68.628629
7635   1  1.034182 11.108268 66.600465
20109  1  3.511654 11.108268 66.600465
22188  1  0.186757  8.765580 66.604254
5655   1  0.998929  7.599740 72.674393
9813   1  2.666204  8.769122 70.649446
16050  1  1.847865  9.942809 72.670401
18129  1  3.476401  7.599740 72.674393
7734   1  1.040179 11.111360 70.645547
20208  1  3.517651 11.111360 70.645547
22287  1  0.188731  8.769122 70.649446
9912   1  2.652414  8.774411 74.694895
7833   1  1.027854 11.116612 74.692013
20307  1  3.505327 11.116612 74.692013
22386  1  0.174941  8.774411 74.694895
5754   1  0.977206  7.605875 76.718805
10011  1  2.621410  8.781923 78.738182
16149  1  1.825862  9.949441 76.715683
18228  1  3.454679  7.605875 76.718805
7932   1  0.996649 11.124343 78.737560
20406  1  3.474122 11.124343 78.737560
5853   1  0.937305  7.613764 80.759482
10110  1  2.569197  8.789660 82.777742
